prompt_idx,accept,draft_actual_k,step_ms,emit,inst_tps
1,0,8,456.8,2,4.4
1,0,8,437.9,2,4.6
1,1,8,435.2,3,6.9
1,0,8,434.1,2,4.6
1,1,8,433.5,3,6.9
1,0,8,433.1,2,4.6
1,0,8,437.0,2,4.6
1,0,8,435.4,2,4.6
1,0,8,436.0,2,4.6
1,0,8,437.6,2,4.6
1,0,8,436.6,2,4.6
1,0,8,438.4,2,4.6
1,0,8,439.8,2,4.5
1,1,8,440.3,3,6.8
1,1,8,442.1,3,6.8
1,1,8,444.1,3,6.8
1,1,8,442.1,3,6.8
1,1,8,441.5,3,6.8
1,1,8,442.3,3,6.8
1,1,8,442.0,3,6.8
1,1,8,447.6,3,6.7
1,1,8,444.5,3,6.7
1,1,8,445.3,3,6.7
1,1,8,445.3,3,6.7
1,1,8,448.6,3,6.7
2,0,8,448.2,2,4.5
2,0,8,435.1,2,4.6
2,0,8,435.9,2,4.6
2,0,8,435.0,2,4.6
2,0,8,437.5,2,4.6
2,0,8,441.7,2,4.5
2,0,8,438.4,2,4.6
2,0,8,436.0,2,4.6
2,0,8,437.7,2,4.6
2,0,8,439.0,2,4.6
2,0,8,447.5,2,4.5
2,0,8,441.0,2,4.5
2,0,8,439.7,2,4.5
2,0,8,440.9,2,4.5
2,0,8,441.0,2,4.5
2,0,8,439.2,2,4.6
2,0,8,440.2,2,4.5
2,0,8,441.1,2,4.5
2,0,8,442.4,2,4.5
2,0,8,442.4,2,4.5
2,2,8,444.2,4,9.0
2,1,8,442.3,3,6.8
2,2,8,445.2,4,9.0
2,2,8,445.6,4,9.0
2,2,8,445.1,4,9.0
2,2,8,447.7,4,8.9
3,0,8,461.0,2,4.3
3,0,8,436.3,2,4.6
3,0,8,434.0,2,4.6
3,0,8,434.8,2,4.6
3,0,8,436.8,2,4.6
3,0,8,444.6,2,4.5
3,0,8,436.3,2,4.6
3,0,8,446.8,2,4.5
3,0,8,446.0,2,4.5
3,0,8,440.2,2,4.5
3,0,8,440.2,2,4.5
3,0,8,440.0,2,4.5
3,0,8,441.3,2,4.5
3,0,8,439.8,2,4.5
3,0,8,443.6,2,4.5
3,0,8,440.3,2,4.5
3,0,8,440.2,2,4.5
3,0,8,442.1,2,4.5
3,0,8,441.7,2,4.5
3,0,8,438.7,2,4.6
3,0,8,443.8,2,4.5
3,0,8,443.1,2,4.5
3,0,8,444.9,2,4.5
3,0,8,445.1,2,4.5
3,0,8,444.9,2,4.5
3,0,8,443.7,2,4.5
3,0,8,445.1,2,4.5
3,0,8,441.6,2,4.5
3,0,8,443.1,2,4.5
3,0,8,442.9,2,4.5
3,0,8,445.3,2,4.5
